no,time,pressue,speed
24,17,10,8.00
24,18,-1,8.00
24,19,0,8.00
25,0,-4,1.00
25,1,8,-1.00
25,2,-2,-1.00
25,3,5,-1.00
25,4,1,-1.00
25,5,2,-1.00
25,6,6,0.00
25,7,7,2.00
25,8,10,-3.00
25,9,-3,-3.00
25,10,8,-3.00
25,11,-4,-1.00
25,12,5,0.00
25,13,9,-5.00
25,14,2,-5.00
25,15,-1,-5.00
25,16,8,-9.00
25,17,-4,-8.00
25,18,2,-8.00
25,19,-4,-7.00
26,0,8,3.00
26,1,8,4.00
26,2,0,4.00
26,3,6,7.00
26,4,-5,7.00
26,5,0,7.00
26,6,7,7.00
26,7,-1,7.00
26,8,9,10.00
26,9,8,9.00
26,10,7,7.00
26,11,7,7.00
26,12,5,5.00
26,13,0,5.00
26,14,5,5.00
26,15,10,-1.00
26,16,-3,-2.00
26,17,-4,-1.00
26,18,1,-1.00
26,19,1,-1.00
27,0,2,0.00
27,1,0,0.00
27,2,-1,0.00
27,3,7,0.00
27,4,3,-1.00
27,5,-5,2.00
27,6,-4,4.00
27,7,2,4.00
27,8,7,4.00
27,9,6,4.00
27,10,-3,5.00
27,11,1,5.00
27,12,2,5.00
27,13,1,5.00
27,14,6,6.00
27,15,-5,7.00
27,16,1,7.00
27,17,2,8.00
27,18,0,8.00
27,19,2,8.00
28,0,6,-3.00
28,1,5,-5.00
28,2,-5,-4.00
28,3,0,-4.00
28,4,6,-1.00
28,5,8,-4.00
28,6,10,-10.00
28,7,3,-11.00
28,8,9,-6.00
28,9,-4,-6.00
28,10,10,-6.00
28,11,-2,-5.00
28,12,2,-5.00
28,13,-2,-5.00
28,14,-2,-6.00
28,15,2,-7.00
28,16,6,-5.00
28,17,4,-3.00
28,18,2,-3.00
28,19,4,-3.00
29,0,2,0.00
29,1,7,-3.00
29,2,6,-4.00
29,3,-1,-4.00
29,4,-2,-4.00
29,5,-5,-3.00
29,6,5,-4.00
29,7,-2,-5.00
29,8,-3,-5.00
29,9,5,-3.00
29,10,2,-3.00
29,11,5,-2.00
29,12,1,-2.00
29,13,2,-2.00
29,14,6,0.00
29,15,-1,0.00
29,16,-3,0.00
29,17,5,0.00
29,18,0,0.00
29,19,-3,0.00
30,0,10,-2.00
30,1,0,-2.00
30,2,-2,-2.00
30,3,-5,0.00
30,4,9,5.00
30,5,-3,6.00
30,6,4,4.00
30,7,-4,4.00
30,8,6,3.00
30,9,8,8.00
30,10,8,9.00
30,11,7,6.00
30,12,9,1.00
30,13,5,4.00
30,14,1,4.00
30,15,7,4.00
30,16,-3,3.00
30,17,-4,2.00
30,18,2,2.00
30,19,1,2.00
31,0,-3,1.00
31,1,-4,1.00
31,2,3,0.00
31,3,1,0.00
31,4,9,0.00
31,5,9,6.00
31,6,5,4.00
31,7,6,4.00
31,8,2,4.00
31,9,2,4.00
31,10,1,4.00
31,11,9,4.00
31,12,3,4.00
31,13,7,4.00
31,14,0,4.00
31,15,2,3.00
31,16,-3,3.00
31,17,-2,4.00
31,18,9,4.00
31,19,-4,6.00
32,0,-4,2.00
32,1,7,-1.00
32,2,10,-5.00
32,3,-4,-6.00
32,4,-4,-7.00
32,5,-4,-7.00
32,6,-1,-7.00
32,7,7,-6.00
32,8,2,-6.00
32,9,0,-6.00
32,10,10,-12.00
32,11,3,-11.00
32,12,9,-9.00
32,13,2,-9.00
32,14,10,-14.00
32,15,8,-17.00
32,16,10,-16.00
32,17,7,-19.00
32,18,8,-19.00
32,19,-3,-20.00
33,0,1,0.00
33,1,4,0.00
33,2,-5,0.00
33,3,5,0.00
33,4,1,0.00
33,5,2,0.00
33,6,6,-2.00
33,7,-2,-2.00
33,8,0,-2.00
33,9,4,-2.00
33,10,4,-2.00
33,11,9,1.00
33,12,6,1.00
33,13,5,0.00
33,14,10,3.00
33,15,9,5.00
33,16,1,5.00
33,17,4,6.00
33,18,0,6.00
33,19,-2,6.00
34,0,3,0.00
34,1,-3,-1.00
34,2,6,-1.00
34,3,4,-1.00
34,4,-1,-1.00
34,5,5,-1.00
34,6,-5,0.00
34,7,5,1.00
34,8,-2,1.00
34,9,4,-1.00
34,10,-1,-1.00
34,11,-2,-1.00
34,12,4,1.00
34,13,7,3.00
34,14,2,3.00
34,15,-1,3.00
34,16,0,3.00
34,17,5,3.00
34,18,9,5.00
34,19,-1,5.00
35,0,10,-2.00
35,1,-3,-4.00
35,2,10,-6.00
35,3,8,-5.00
35,4,-5,-3.00
35,5,10,1.00
35,6,1,1.00
35,7,3,1.00
35,8,-1,1.00
35,9,0,1.00
35,10,2,1.00
35,11,7,0.00
35,12,7,-4.00
35,13,-2,-5.00
35,14,3,-5.00
35,15,-1,-5.00
35,16,2,-5.00
35,17,3,-5.00
35,18,7,-7.00
35,19,-2,-7.00
36,0,9,4.00
36,1,-2,3.00
36,2,10,1.00
36,3,-1,1.00
36,4,6,-1.00
36,5,0,-1.00
36,6,6,-3.00
36,7,3,-1.00
36,8,8,-1.00
36,9,-3,-1.00
36,10,-2,-1.00
36,11,0,-1.00
36,12,3,-2.00
36,13,-1,-2.00
36,14,10,-6.00
36,15,-1,-6.00
36,16,2,-6.00
36,17,-2,-6.00
36,18,9,-10.00
36,19,-2,-10.00
37,0,3,0.00
37,1,6,-1.00
37,2,2,-1.00
37,3,0,-1.00
37,4,4,-2.00
37,5,-3,-3.00
37,6,5,-2.00
37,7,2,-3.00
37,8,-3,-4.00
37,9,6,-1.00
37,10,5,0.00
37,11,-5,-2.00
37,12,-3,-2.00
37,13,-5,-3.00
37,14,-2,-3.00
37,15,8,-5.00
37,16,-5,-4.00
37,17,0,-4.00
37,18,7,-1.00
37,19,-3,-3.00
38,0,0,0.00
38,1,-2,1.00
38,2,0,1.00
38,3,0,1.00
38,4,-1,1.00
38,5,6,5.00
38,6,3,5.00
38,7,-4,5.00
38,8,9,10.00
38,9,-3,10.00
38,10,8,6.00
38,11,0,6.00
38,12,10,5.00
38,13,1,5.00
38,14,2,5.00
38,15,-5,8.00
38,16,0,8.00
38,17,-3,8.00
38,18,-5,9.00
38,19,6,10.00
39,0,-2,0.00
39,1,0,0.00
39,2,-4,-2.00
39,3,0,-2.00
39,4,0,-2.00
39,5,0,-2.00
39,6,0,-2.00
39,7,5,-2.00
39,8,-1,-2.00
39,9,9,3.00
39,10,10,9.00
39,11,10,10.00
39,12,-3,9.00
39,13,2,8.00
39,14,9,9.00
39,15,2,9.00
39,16,-4,8.00
39,17,7,6.00
39,18,0,6.00
39,19,7,2.00
40,0,10,4.00
40,1,2,4.00
40,2,8,4.00
40,3,-4,5.00
40,4,2,5.00
40,5,7,5.00
40,6,5,7.00
40,7,5,7.00
40,8,5,5.00
40,9,3,5.00
40,10,4,7.00
40,11,-3,8.00
40,12,-2,8.00
40,13,10,2.00
40,14,-4,3.00
40,15,1,3.00
40,16,8,3.00
40,17,9,-2.00
40,18,-2,-2.00
40,19,5,-5.00
41,0,9,3.00
41,1,10,9.00
41,2,5,9.00
41,3,8,6.00
41,4,-5,5.00
41,5,4,5.00
41,6,5,6.00
41,7,7,6.00
41,8,-5,8.00
41,9,-3,7.00
41,10,1,7.00
41,11,9,9.00
41,12,-5,9.00
41,13,-4,10.00
41,14,2,9.00
41,15,2,10.00
41,16,9,4.00
41,17,5,4.00
41,18,-1,4.00
41,19,8,7.00
42,0,-2,0.00
42,1,2,-1.00
42,2,8,3.00
42,3,4,4.00
42,4,4,3.00
42,5,4,4.00
42,6,3,3.00
42,7,3,3.00
42,8,10,-3.00
42,9,9,-4.00
42,10,4,-4.00
42,11,6,-4.00
42,12,8,-8.00
42,13,0,-8.00
42,14,5,-10.00
42,15,-5,-12.00
42,16,0,-12.00
42,17,2,-12.00
42,18,2,-11.00
42,19,6,-12.00
43,0,5,0.00
43,1,6,1.00
43,2,-5,4.00
43,3,9,2.00
43,4,-5,4.00
43,5,10,7.00
43,6,0,7.00
43,7,6,6.00
43,8,2,6.00
43,9,6,3.00
43,10,-1,3.00
43,11,5,5.00
43,12,-3,4.00
43,13,3,4.00
43,14,9,-2.00
43,15,-1,-2.00
43,16,0,-2.00
43,17,0,-2.00
43,18,-3,-3.00
43,19,7,1.00
44,0,9,-5.00
44,1,8,-2.00
44,2,5,-2.00
44,3,-4,-3.00
44,4,5,-5.00
44,5,6,-8.00
44,6,-3,-8.00
44,7,4,-7.00
44,8,-1,-7.00
44,9,4,-7.00
44,10,6,-5.00
44,11,-2,-5.00
44,12,5,-3.00
44,13,-3,-2.00
44,14,3,-1.00
44,15,1,-1.00
44,16,4,0.00
44,17,-2,0.00
44,18,9,-3.00
44,19,2,-2.00
45,0,10,-2.00
45,1,-2,-2.00
45,2,6,0.00
45,3,6,-2.00
45,4,2,-2.00
45,5,-3,-2.00
45,6,1,-2.00
45,7,5,-2.00
45,8,6,1.00
45,9,1,1.00
45,10,5,-2.00
45,11,-3,-2.00
45,12,0,-2.00
45,13,-3,-1.00
45,14,2,-1.00
45,15,6,-4.00
45,16,-3,-5.00
45,17,8,-9.00
45,18,5,-7.00
45,19,4,-7.00
46,0,10,-6.00
46,1,3,-5.00
46,2,7,-4.00
46,3,9,-4.00
46,4,4,-3.00
46,5,1,-3.00
46,6,-3,-3.00
46,7,3,-4.00
46,8,2,-4.00
46,9,-4,-4.00
46,10,9,-7.00
46,11,-3,-6.00
46,12,2,-6.00
46,13,7,-6.00
46,14,10,-5.00
46,15,3,-4.00
46,16,-1,-4.00
46,17,3,-4.00
46,18,4,-2.00
46,19,-5,1.00
47,0,-4,0.00
47,1,9,-1.00
47,2,6,1.00
47,3,-3,1.00
47,4,2,1.00
47,5,-1,1.00
47,6,-1,1.00
47,7,6,4.00
47,8,-3,3.00
47,9,8,4.00
47,10,1,4.00
47,11,-3,4.00
47,12,1,4.00
47,13,-4,5.00
47,14,0,5.00
47,15,9,1.00
47,16,5,1.00
47,17,-4,0.00
47,18,7,4.00
47,19,3,4.00
48,0,4,0.00
48,1,10,5.00
48,2,4,5.00
48,3,2,6.00
48,4,5,6.00
48,5,4,4.00
48,6,-1,4.00
48,7,9,6.00
48,8,4,7.00
48,9,3,7.00
48,10,8,6.00
48,11,5,8.00
48,12,2,8.00
48,13,6,11.00
48,14,8,11.00
48,15,-5,8.00
48,16,-2,8.00
48,17,10,12.00
48,18,0,12.00
48,19,8,10.00
49,0,5,2.00
49,1,2,2.00
49,2,-3,1.00
49,3,-3,2.00
49,4,0,2.00
49,5,4,2.00
49,6,7,5.00
49,7,-2,5.00
49,8,-1,5.00
49,9,6,4.00
49,10,-3,4.00
49,11,5,3.00
49,12,-4,1.00
49,13,-3,1.00
49,14,-4,1.00
49,15,7,1.00
49,16,7,-1.00
49,17,7,-1.00
49,18,-5,-1.00
49,19,-2,0.00
50,0,8,3.00
50,1,8,5.00
50,2,5,5.00
50,3,0,5.00
50,4,8,2.00
50,5,8,7.00
50,6,5,10.00
50,7,5,11.00
50,8,6,11.00
50,9,8,11.00
50,10,-2,11.00
50,11,9,16.00
50,12,4,14.00
50,13,2,15.00
50,14,8,13.00
50,15,6,12.00
50,16,-5,15.00
50,17,8,14.00
50,18,6,14.00
50,19,-1,14.00
51,0,-2,1.00
51,1,-1,1.00
51,2,-1,1.00
51,3,4,2.00
51,4,-3,1.00
51,5,3,1.00
51,6,0,1.00
51,7,1,1.00
51,8,7,-2.00
51,9,5,0.00
51,10,2,0.00
51,11,6,-3.00
51,12,4,-3.00
51,13,-1,-3.00
51,14,7,0.00
51,15,-3,1.00
51,16,1,1.00
51,17,8,-2.00
51,18,9,-7.00
51,19,3,-6.00
52,0,0,0.00
52,1,-2,0.00
52,2,2,0.00
52,3,6,4.00
52,4,10,7.00
52,5,8,11.00
52,6,1,11.00
52,7,6,9.00
52,8,9,3.00
52,9,10,8.00
52,10,4,7.00
52,11,9,4.00
52,12,7,8.00
52,13,-5,9.00
52,14,5,8.00
52,15,6,11.00
52,16,10,10.00
52,17,-4,8.00
52,18,-3,8.00
52,19,-3,8.00
53,0,6,-1.00
53,1,5,-1.00
53,2,7,1.00
53,3,4,-1.00
53,4,-1,-1.00
53,5,5,1.00
53,6,10,-4.00
53,7,2,-4.00
53,8,2,-4.00
53,9,-2,-4.00
53,10,-3,-4.00
53,11,-5,-5.00
53,12,-3,-4.00
53,13,7,-5.00
53,14,-4,-4.00
53,15,-1,-4.00
53,16,5,-3.00
53,17,0,-3.00
53,18,2,-3.00
53,19,-5,-1.00
54,0,6,0.00
54,1,6,3.00
54,2,0,3.00
54,3,8,4.00
54,4,7,6.00
54,5,2,7.00
54,6,-5,6.00
54,7,5,7.00
54,8,7,7.00
54,9,7,11.00
54,10,4,11.00
54,11,-1,11.00
54,12,10,15.00
54,13,1,15.00
54,14,3,16.00
54,15,7,20.00
54,16,6,20.00
54,17,9,20.00
54,18,3,20.00
54,19,8,22.00
55,0,-2,1.00
55,1,9,1.00
55,2,6,2.00
55,3,1,2.00
55,4,-3,1.00
55,5,-1,1.00
55,6,1,1.00
55,7,6,-2.00
55,8,0,-2.00
55,9,9,-2.00
55,10,10,-5.00
55,11,1,-5.00
55,12,1,-5.00
55,13,3,-5.00
55,14,3,-6.00
55,15,10,-9.00
55,16,2,-9.00
55,17,2,-9.00
55,18,3,-10.00
55,19,2,-10.00
56,0,-3,1.00
56,1,-3,1.00
56,2,1,1.00
56,3,-2,2.00
56,4,2,2.00
56,5,-3,2.00
56,6,-1,2.00
56,7,-3,4.00
56,8,6,1.00
56,9,4,2.00
56,10,0,2.00
56,11,4,3.00
56,12,5,3.00
56,13,0,3.00
56,14,1,3.00
56,15,5,2.00
56,16,6,0.00
56,17,2,0.00
56,18,1,0.00
56,19,6,2.00
57,0,-2,0.00
57,1,-3,0.00
57,2,-1,0.00
57,3,2,0.00
57,4,0,0.00
57,5,4,2.00
57,6,-1,2.00
57,7,-3,1.00
57,8,1,1.00
57,9,-2,2.00
57,10,-1,2.00
57,11,-5,3.00
57,12,5,2.00
57,13,5,2.00
57,14,-3,2.00
57,15,8,2.00
57,16,2,3.00
57,17,-4,2.00
57,18,7,-1.00
57,19,-2,-1.00
58,0,-1,0.00
58,1,-2,0.00
58,2,-5,-1.00
58,3,1,-1.00
58,4,5,-2.00
58,5,-2,-3.00
58,6,10,-8.00
58,7,0,-8.00
58,8,3,-8.00
58,9,5,-8.00
58,10,-2,-8.00
58,11,-2,-8.00
58,12,10,-9.00
58,13,-2,-9.00
58,14,-3,-8.00
58,15,10,-6.00
58,16,5,-6.00
58,17,7,-3.00
58,18,1,-3.00
58,19,1,-3.00
59,0,10,6.00
59,1,10,8.00
59,2,-2,8.00
59,3,8,10.00
59,4,1,10.00
59,5,-1,10.00
59,6,10,15.00
59,7,-3,15.00
59,8,6,18.00
59,9,6,16.00
59,10,-2,16.00
59,11,1,16.00
59,12,7,16.00
59,13,4,15.00
59,14,10,21.00
59,15,-3,21.00
59,16,0,21.00
59,17,9,21.00
59,18,7,22.00
59,19,-4,23.00
60,0,-5,2.00
60,1,-3,2.00
60,2,5,1.00
60,3,-1,1.00
60,4,6,1.00
60,5,-5,2.00
60,6,2,3.00
60,7,7,1.00
60,8,7,1.00
60,9,-3,1.00
60,10,-3,1.00
60,11,6,3.00
60,12,10,3.00
60,13,9,-1.00
60,14,9,2.00
60,15,3,1.00
60,16,1,1.00
60,17,-2,1.00
60,18,5,1.00
60,19,-5,3.00
61,0,-1,0.00
61,1,6,0.00
61,2,2,0.00
61,3,-3,-1.00
61,4,1,-1.00
61,5,-3,0.00
61,6,4,1.00
61,7,8,-2.00
61,8,-4,0.00
61,9,-2,0.00
61,10,-5,-3.00
61,11,3,-4.00
61,12,-4,-4.00
61,13,4,-6.00
61,14,7,-8.00
61,15,6,-8.00
61,16,7,-8.00
61,17,-3,-8.00
61,18,-1,-8.00
61,19,0,-8.00
62,0,-2,0.00
62,1,1,0.00
62,2,0,0.00
62,3,0,0.00
62,4,9,-3.00
62,5,2,-3.00
62,6,2,-3.00
62,7,-3,-2.00
62,8,10,-1.00
62,9,4,-1.00
62,10,6,-4.00
62,11,7,-4.00
62,12,3,-5.00
62,13,-4,-4.00
62,14,-5,-2.00
62,15,10,2.00
62,16,-3,2.00
62,17,7,4.00
62,18,-1,4.00
62,19,-4,2.00
63,0,10,0.00
63,1,2,0.00
63,2,6,1.00
63,3,10,0.00
63,4,0,0.00
63,5,5,0.00
63,6,5,0.00
63,7,0,0.00
63,8,1,0.00
63,9,-3,-1.00
63,10,6,2.00
63,11,-2,3.00
63,12,0,3.00
63,13,-3,4.00
63,14,1,4.00
63,15,6,0.00
63,16,6,-1.00
63,17,7,-2.00
63,18,0,-2.00
63,19,6,-4.00
64,0,2,0.00
64,1,10,-6.00
64,2,10,-2.00
64,3,-4,-1.00
64,4,5,-1.00
64,5,6,-4.00
64,6,-3,-5.00
64,7,-2,-5.00
64,8,5,-5.00
64,9,0,-5.00
64,10,7,-8.00
64,11,3,-7.00
64,12,3,-6.00
64,13,-1,-6.00
64,14,10,-11.00
64,15,-5,-10.00
64,16,9,-6.00
64,17,6,-4.00
